"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","MD1","OC1","REM","EQD"
"04203099999","2010-05-27T15:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0036,1","99999,9,9,N","999999,9,N,1","-0033,1","+9999,9","10271,1","99999,9,10257,1","4,1,000,1,+999,9",,"SYN054AAXX  27154 04203 46/// /1907 11033 30257 40271 54000;",
"04203099999","2010-05-27T18:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0021,1","99999,9,9,N","999999,9,N,1","-0038,1","+9999,9","10270,1","99999,9,10256,1","7,1,001,1,+999,9",,"SYN054AAXX  27184 04203 46/// /1904 11038 30256 40270 57001;",
"04203099999","2010-05-27T21:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","200,1,N,0021,1","99999,9,9,N","999999,9,N,1","-0036,1","+9999,9","10269,1","99999,9,10255,1","7,1,001,1,+999,9",,"SYN054AAXX  27214 04203 46/// /2004 11036 30255 40269 57001;",
"04203099999","2010-05-28T00:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0031,1","99999,9,9,N","999999,9,N,1","-0031,1","+9999,9","10265,1","99999,9,10251,1","7,1,004,1,+999,9",,"SYN054AAXX  28004 04203 46/// /1906 11031 30251 40265 57004;",
"04203099999","2010-05-28T03:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","200,1,N,0072,1","99999,9,9,N","999999,9,N,1","-0029,1","+9999,9","10254,1","99999,9,10240,1","7,1,011,1,+999,9",,"SYN054AAXX  28034 04203 46/// /2014 11029 30240 40254 57011;",
"04203099999","2010-05-28T06:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0036,1","99999,9,9,N","999999,9,N,1","-0035,1","+9999,9","10250,1","99999,9,10236,1","7,1,004,1,+999,9",,"SYN054AAXX  28064 04203 46/// /1907 11035 30236 40250 57004;",
"04203099999","2010-05-28T09:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0041,1","99999,9,9,N","999999,9,N,1","-0032,1","+9999,9","10246,1","99999,9,10232,1","7,1,004,1,+999,9",,"SYN054AAXX  28094 04203 46/// /1908 11032 30232 40246 57004;",
"04203099999","2010-05-28T12:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0072,1","99999,9,9,N","999999,9,N,1","-0026,1","+9999,9","10238,1","99999,9,10224,1","7,1,008,1,+999,9",,"SYN054AAXX  28124 04203 46/// /1914 11026 30224 40238 57008;",
"04203099999","2010-05-28T15:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0072,1","99999,9,9,N","999999,9,N,1","-0025,1","+9999,9","10229,1","99999,9,10215,1","7,1,009,1,+999,9",,"SYN054AAXX  28154 04203 46/// /1914 11025 30215 40229 57009;",
"04203099999","2010-05-28T18:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0051,1","99999,9,9,N","999999,9,N,1","-0017,1","+9999,9","10214,1","99999,9,10200,1","7,1,015,1,+999,9",,"SYN054AAXX  28184 04203 46/// /1910 11017 30200 40214 57015;",
"04203099999","2010-05-28T21:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0041,1","99999,9,9,N","999999,9,N,1","-0015,1","+9999,9","10207,1","99999,9,10193,1","7,1,007,1,+999,9",,"SYN054AAXX  28214 04203 46/// /1908 11015 30193 40207 57007;",
"04203099999","2010-05-29T00:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0041,1","99999,9,9,N","999999,9,N,1","-0011,1","+9999,9","10195,1","99999,9,10181,1","7,1,012,1,+999,9",,"SYN054AAXX  29004 04203 46/// /1908 11011 30181 40195 57012;",
"04203099999","2010-05-29T03:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0051,1","99999,9,9,N","999999,9,N,1","-0014,1","+9999,9","10186,1","99999,9,10172,1","7,1,009,1,+999,9",,"SYN054AAXX  29034 04203 46/// /1910 11014 30172 40186 57009;",
"04203099999","2010-05-29T06:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0046,1","99999,9,9,N","999999,9,N,1","-0017,1","+9999,9","10177,1","99999,9,10163,1","7,1,009,1,+999,9",,"SYN054AAXX  29064 04203 46/// /1909 11017 30163 40177 57009;",
"04203099999","2010-05-29T09:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0057,1","99999,9,9,N","999999,9,N,1","-0013,1","+9999,9","10171,1","99999,9,10157,1","7,1,006,1,+999,9",,"SYN054AAXX  29094 04203 46/// /1911 11013 30157 40171 57006;",
"04203099999","2010-05-29T12:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0057,1","99999,9,9,N","999999,9,N,1","-0014,1","+9999,9","10169,1","99999,9,10155,1","7,1,002,1,+999,9",,"SYN054AAXX  29124 04203 46/// /1911 11014 30155 40169 57002;",
"04203099999","2010-05-29T15:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","200,1,N,0041,1","99999,9,9,N","999999,9,N,1","-0011,1","+9999,9","10169,1","99999,9,10155,1","4,1,000,1,+999,9",,"SYN054AAXX  29154 04203 46/// /2008 11011 30155 40169 54000;",
"04203099999","2010-05-29T18:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0057,1","99999,9,9,N","999999,9,N,1","-0010,1","+9999,9","10171,1","99999,9,10157,1","2,1,002,1,+999,9",,"SYN054AAXX  29184 04203 46/// /1911 11010 30157 40171 52002;",
"04203099999","2010-05-29T21:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0057,1","99999,9,9,N","999999,9,N,1","-0011,1","+9999,9","10174,1","99999,9,10160,1","2,1,003,1,+999,9",,"SYN054AAXX  29214 04203 46/// /1911 11011 30160 40174 52003;",
"04203099999","2010-05-30T00:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","200,1,N,0036,1","99999,9,9,N","999999,9,N,1","-0009,1","+9999,9","10179,1","99999,9,10165,1","2,1,005,1,+999,9",,"SYN054AAXX  30004 04203 46/// /2007 11009 30165 40179 52005;",
"04203099999","2010-05-30T03:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0041,1","99999,9,9,N","999999,9,N,1","-0015,1","+9999,9","10178,1","99999,9,10164,1","7,1,001,1,+999,9",,"SYN054AAXX  30034 04203 46/// /1908 11015 30164 40178 57001;",
"04203099999","2010-05-30T06:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","200,1,N,0036,1","99999,9,9,N","999999,9,N,1","-0030,1","+9999,9","10179,1","99999,9,10165,1","2,1,001,1,+999,9",,"SYN054AAXX  30064 04203 46/// /2007 11030 30165 40179 52001;",
"04203099999","2010-05-30T09:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0026,1","99999,9,9,N","999999,9,N,1","+0000,1","+9999,9","10178,1","99999,9,10164,1","7,1,001,1,+999,9",,"SYN054AAXX  30094 04203 46/// /1905 10000 30164 40178 57001;",
"04203099999","2010-05-30T12:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","200,1,N,0010,1","99999,9,9,N","999999,9,N,1","+0015,1","+9999,9","10174,1","99999,9,10160,1","7,1,004,1,+999,9",,"SYN054AAXX  30124 04203 46/// /2002 10015 30160 40174 57004;",
"04203099999","2010-05-30T15:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0021,1","99999,9,9,N","999999,9,N,1","-0001,1","+9999,9","10173,1","99999,9,10159,1","7,1,001,1,+999,9",,"SYN054AAXX  30154 04203 46/// /1904 11001 30159 40173 57001;",
"04203099999","2010-05-30T18:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0036,1","99999,9,9,N","999999,9,N,1","-0009,1","+9999,9","10168,1","99999,9,10154,1","7,1,005,1,+999,9",,"SYN054AAXX  30184 04203 46/// /1907 11009 30154 40168 57005;",
"04203099999","2010-05-30T21:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0046,1","99999,9,9,N","999999,9,N,1","-0007,1","+9999,9","10166,1","99999,9,10152,1","7,1,002,1,+999,9",,"SYN054AAXX  30214 04203 46/// /1909 11007 30152 40166 57002;",
"04203099999","2010-05-31T00:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","200,1,N,0036,1","99999,9,9,N","999999,9,N,1","-0012,1","+9999,9","10158,1","99999,9,10144,1","7,1,008,1,+999,9",,"SYN054AAXX  31004 04203 46/// /2007 11012 30144 40158 57008;",
"04203099999","2010-05-31T03:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0036,1","99999,9,9,N","999999,9,N,1","-0016,1","+9999,9","10152,1","99999,9,10138,1","7,1,006,1,+999,9",,"SYN054AAXX  31034 04203 46/// /1907 11016 30138 40152 57006;",
"04203099999","2010-05-31T06:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0041,1","99999,9,9,N","999999,9,N,1","-0027,1","+9999,9","10144,1","99999,9,10130,1","7,1,008,1,+999,9",,"SYN054AAXX  31064 04203 46/// /1908 11027 30130 40144 57008;",
"04203099999","2010-05-31T09:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","200,1,N,0026,1","99999,9,9,N","999999,9,N,1","-0005,1","+9999,9","10139,1","99999,9,10125,1","7,1,005,1,+999,9",,"SYN054AAXX  31094 04203 46/// /2005 11005 30125 40139 57005;",
"04203099999","2010-05-31T12:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","200,1,N,0031,1","99999,9,9,N","999999,9,N,1","+0002,1","+9999,9","10129,1","99999,9,10115,1","7,1,010,1,+999,9",,"SYN054AAXX  31124 04203 46/// /2006 10002 30115 40129 57010;",
"04203099999","2010-05-31T15:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","200,1,N,0021,1","99999,9,9,N","999999,9,N,1","+0016,1","+9999,9","10119,1","99999,9,10105,1","7,1,010,1,+999,9",,"SYN054AAXX  31154 04203 46/// /2004 10016 30105 40119 57010;",
"04203099999","2010-05-31T18:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0031,1","99999,9,9,N","999999,9,N,1","-0002,1","+9999,9","10110,1","99999,9,10096,1","7,1,009,1,+999,9",,"SYN054AAXX  31184 04203 46/// /1906 11002 30096 40110 57009;",
"04203099999","2010-05-31T21:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","200,1,N,0036,1","99999,9,9,N","999999,9,N,1","-0015,1","+9999,9","10099,1","99999,9,10085,1","7,1,011,1,+999,9",,"SYN054AAXX  31214 04203 46/// /2007 11015 30085 40099 57011;",
"04203099999","2010-06-01T00:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0021,1","99999,9,9,N","999999,9,N,1","-0025,1","+9999,9","10088,1","99999,9,10074,1","7,1,011,1,+999,9",,"SYN054AAXX  01004 04203 46/// /1904 11025 30074 40088 57011;",
"04203099999","2010-06-01T03:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0051,1","99999,9,9,N","999999,9,N,1","-0020,1","+9999,9","10077,1","99999,9,10063,1","7,1,011,1,+999,9",,"SYN054AAXX  01034 04203 46/// /1910 11020 30063 40077 57011;",
"04203099999","2010-06-01T06:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0036,1","99999,9,9,N","999999,9,N,1","-0021,1","+9999,9","10069,1","99999,9,10055,1","7,1,008,1,+999,9",,"SYN054AAXX  01064 04203 46/// /1907 11021 30055 40069 57008;",
"04203099999","2010-06-01T09:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0051,1","99999,9,9,N","999999,9,N,1","-0060,1","+9999,9","10064,1","99999,9,10050,1","7,1,005,1,+999,9",,"SYN054AAXX  01094 04203 46/// /1910 11060 30050 40064 57005;",
