"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GF1","KA1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"01088499999","2010-09-07T09:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","100,1,N,0031,1","00600,1,C,N","011265,1,N,1","+0140,1","+0060,1","99999,9","07,5,+00600,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10240,1,99999,9",,,,,"MET059METAR ENSN 070950Z 10006KT 050V150 9999 BKN020 14/06 Q1024;",
"01088499999","2010-09-07T10:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","090,1,N,0036,1","00750,1,C,N","011265,1,N,1","+0140,1","+0060,1","99999,9","07,5,+00750,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10230,1,99999,9",,,,,"MET051METAR ENSN 071050Z 09007KT 9999 BKN025 14/06 Q1023;",
"01088499999","2010-09-07T11:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","999,9,V,0036,1","00750,1,C,N","011265,1,N,1","+0140,1","+0070,1","99999,9","07,5,+00750,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10230,1,99999,9",,,,,"MET051METAR ENSN 071150Z VRB07KT 9999 BKN025 14/07 Q1023;",
"01088499999","2010-09-07T12:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","120,1,N,0036,1","22000,1,9,N","011265,1,N,1","+0160,1","+0070,1","99999,9","04,5,+01050,1,99,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,"10230,1,99999,9",,,,,"MET059METAR ENSN 071250Z 12007KT 050V160 9999 SCT035 16/07 Q1023;",
"01088499999","2010-09-07T13:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","070,1,N,0036,1","22000,1,9,N","011265,1,N,1","+0150,1","+0070,1","99999,9","04,5,+01140,1,99,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,"10230,1,99999,9",,,,,"MET059METAR ENSN 071350Z 07007KT 010V120 9999 SCT038 15/07 Q1023;",
"01088499999","2010-09-07T14:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","070,1,N,0041,1","22000,1,9,N","011265,1,N,1","+0160,1","+0070,1","99999,9","04,5,+01170,1,99,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,"10220,1,99999,9",,,,,"MET059METAR ENSN 071450Z 07008KT 010V150 9999 SCT039 16/07 Q1022;",
"01088499999","2010-09-07T16:20:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","080,1,N,0026,1","22000,1,9,N","011265,1,N,1","+0150,1","+0080,1","99999,9","02,5,+01350,1,99,9",,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,"10220,1,99999,9",,,,,"MET051METAR ENSN 071620Z 08005KT 9999 FEW045 15/08 Q1022;",
"01088499999","2010-09-07T16:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","999,9,V,0031,1","22000,1,9,N","011265,1,N,1","+0150,1","+0080,1","99999,9","02,5,+01230,1,99,9",,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,"10220,1,99999,9",,,,,"MET051METAR ENSN 071650Z VRB06KT 9999 FEW041 15/08 Q1022;",
"01088499999","2010-09-07T17:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","070,1,N,0036,1","22000,1,9,N","011265,1,N,1","+0140,1","+0080,1","99999,9","02,5,+00960,1,99,9",,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,"10220,1,99999,9",,,,,"MET051METAR ENSN 071750Z 07007KT 9999 FEW032 14/08 Q1022;",
"01088499999","2010-09-07T18:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","040,1,N,0036,1","99999,9,9,Y","009900,1,N,1","+0130,1","+0080,1","99999,9",,,,,,"10220,1,99999,9",,,,,"MET045METAR ENSN 071850Z 04007KT CAVOK 13/08 Q1022;",
"01088499999","2010-09-08T03:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","070,1,N,0036,1","00450,1,C,N","011265,1,N,1","+0110,1","+0090,1","99999,9","07,5,+00450,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10220,1,99999,9",,,,,"MET051METAR ENSN 080350Z 07007KT 9999 BKN015 11/09 Q1022;",
