"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AW1","AZ1","GA1","GA2","KA1","KA2","MA1","MD1","REM","EQD"
"02458099999","2010-03-27T12:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","360,1,N,0020,1","00330,1,C,N","010000,1,N,1","+0018,1","+0012,1","09968,1",,,"52,1","8,1,06,1","08,1,+00330,1,99,9",,,,"99999,9,09943,1","7,1,019,1,+999,9","SYN076AAXX  27121 02458 47460 /3602 10018 20012 39943 49968 57019 75286 333 88/11;",
"02458099999","2010-03-27T15:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","010,1,N,0030,1","00210,1,C,N","006000,1,N,1","+0021,1","+0018,1","09955,1",,,"22,1","8,1,03,1","08,1,+00210,1,99,9",,,,"99999,9,09930,1","8,1,013,1,+999,9","SYN076AAXX  27151 02458 47356 /0103 10021 20018 39930 49955 58013 72285 333 88/07;",
"02458099999","2010-03-27T18:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","010,1,N,0020,1","00090,1,C,N","002800,1,N,1","+0008,1","+0008,1","09945,1","12,0000,2,1",,"10,1","8,1,06,1","09,1,+00090,1,99,9",,"120,M,+0028,1","999,N,+0008,1","99999,9,09919,1","5,1,011,1,+999,9","SYN094AAXX  27181 02458 17/28 /0102 10008 20008 39919 49945 55011 69922 71085 333 10028 20008 89/03;",
"02458099999","2010-03-27T21:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","350,1,N,0040,1","00060,1,C,N","000700,1,N,1","+0003,1","+0003,1","09928,1",,,"33,1","4,1,03,1","09,1,+00060,1,99,9",,,,"99999,9,09902,1","6,1,017,1,+999,9","SYN076AAXX  27211 02458 47/07 /3504 10003 20003 39902 49928 56017 73331 333 89/02;",
"02458099999","2010-03-28T00:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","350,1,N,0030,1","00150,1,C,N","010000,1,N,1","+0004,1","+0004,1","09911,1",,,"81,1","8,1,06,1","09,1,+00150,1,99,9",,,,"99999,9,09885,1","6,1,017,1,+999,9","SYN076AAXX  28001 02458 47/60 /3503 10004 20004 39885 49911 56017 78186 333 89/05;",
"02458099999","2010-03-28T03:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","340,1,N,0030,1","00180,1,C,N","010000,1,N,1","+0004,1","+0004,1","09906,1",,,"64,1","8,1,03,1","08,1,+00180,1,99,9",,,,"99999,9,09881,1","5,1,004,1,+999,9","SYN076AAXX  28031 02458 47360 /3403 10004 20004 39881 49906 55004 76487 333 88/06;",
"02458099999","2010-03-28T06:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","310,1,N,0040,1","00180,1,C,N","021000,1,N,1","+0003,1","+0003,1","09918,1","12,0109,9,2","24,0107,9,2","67,1","8,1,06,1","08,1,+00180,1,99,9",,"120,M,+0009,1","999,N,+0001,1","99999,9,09892,1","3,1,011,1,+999,9","SYN106AAXX  28061 02458 07371 /3104 10003 20003 39892 49918 53011 60112 76787 333 10009 20001 69935 70107 88/06;",
"02458099999","2010-03-28T09:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","310,1,N,0030,1","00270,1,C,N","027000,1,N,1","+0008,1","+0006,1","09936,1",,,"41,1","6,1,03,1","08,1,+00270,1,99,9",,,,"99999,9,09910,1","2,1,018,1,+999,9","SYN076AAXX  28091 02458 47377 /3103 10008 20006 39910 49936 52018 74165 333 88/09;",
"02458099999","2010-03-28T12:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","280,1,N,0020,1","00450,1,C,N","050000,1,N,1","+0017,1","+0008,1","09947,1",,,"00,1","6,1,06,1","08,1,+00450,1,99,9",,,,"99999,9,09922,1","2,1,011,1,+999,9","SYN076AAXX  28121 02458 47484 /2802 10017 20008 39922 49947 52011 70065 333 88/15;",
"02458099999","2010-03-28T15:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","290,1,N,0010,1","00600,1,C,N","035000,1,N,1","+0019,1","+0014,1","09961,1",,,,,"08,1,+00600,1,99,9",,,,"99999,9,09936,1","2,1,014,1,+999,9","SYN070AAXX  28151 02458 45581 /2901 10019 20014 39936 49961 52014 333 88/20;",
