"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","MD1","OC1","REM","EQD"
"04208099999","2010-01-04T03:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","100,1,N,0051,1","99999,9,9,N","999999,9,N,1","-0046,1","-0049,1","10363,1","99999,9,10311,1","7,1,022,1,+999,9",,"SYN060AAXX  04034 04208 46/// /1010 11046 21049 30311 40363 57022;",
"04208099999","2010-01-04T06:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","110,1,N,0051,1","99999,9,9,N","999999,9,N,1","-0045,1","-0045,1","10343,1","99999,9,10291,1","7,1,020,1,+999,9",,"SYN060AAXX  04064 04208 46/// /1110 11045 21045 30291 40343 57020;",
"04208099999","2010-01-04T09:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","170,1,N,0072,1","99999,9,9,N","999999,9,N,1","-0011,1","-0012,1","10329,1","99999,9,10278,1","7,1,013,1,+999,9",,"SYN060AAXX  04094 04208 46/// /1714 11011 21012 30278 40329 57013;",
"04208099999","2010-01-04T12:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","180,1,N,0093,1","99999,9,9,N","999999,9,N,1","-0020,1","+9999,9","10317,1","99999,9,10265,1","7,1,013,1,+999,9",,"SYN060AAXX  04124 04208 46/// /1818 11020 21019 30265 40317 57013;",
"04208099999","2010-01-04T15:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","170,1,N,0103,1","99999,9,9,N","999999,9,N,1","-0025,1","-0025,1","10307,1","99999,9,10255,1","7,1,010,1,+999,9",,"SYN060AAXX  04154 04208 46/// /1720 11025 21025 30255 40307 57010;",
"04208099999","2010-01-04T18:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","180,1,N,0087,1","99999,9,9,N","999999,9,N,1","-0017,1","-0017,1","10291,1","99999,9,10240,1","7,1,015,1,+999,9",,"SYN060AAXX  04184 04208 46/// /1817 11017 21017 30240 40291 57015;",
"04208099999","2010-01-04T21:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","180,1,N,0072,1","99999,9,9,N","999999,9,N,1","-0026,1","-0026,1","10284,1","99999,9,10233,1","7,1,007,1,+999,9",,"SYN060AAXX  04214 04208 46/// /1814 11026 21026 30233 40284 57007;",
"04208099999","2010-01-05T00:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","180,1,N,0108,1","99999,9,9,N","999999,9,N,1","-0056,1","+9999,9","10268,1","99999,9,10216,1","7,1,017,1,+999,9",,"SYN060AAXX  05004 04208 46/// /1821 11056 21055 30216 40268 57017;",
"04208099999","2010-01-05T03:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","160,1,N,0129,1","99999,9,9,N","999999,9,N,1","-0041,1","-0041,1","10255,1","99999,9,10203,1","7,1,013,1,+999,9",,"SYN060AAXX  05034 04208 46/// /1625 11041 21041 30203 40255 57013;",
"04208099999","2010-01-05T06:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","150,1,N,0144,1","99999,9,9,N","999999,9,N,1","-0022,1","+9999,9","10230,1","99999,9,10179,1","7,1,024,1,+999,9",,"SYN060AAXX  05064 04208 46/// /1528 11022 21021 30179 40230 57024;",
"04208099999","2010-01-05T12:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","190,1,N,0103,1","99999,9,9,N","999999,9,N,1","-0039,1","-0040,1","10211,1","99999,9,10160,1","7,1,008,1,+999,9",,"SYN060AAXX  05124 04208 46/// /1920 11039 21040 30160 40211 57008;",
"04208099999","2010-01-05T15:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","210,1,N,0093,1","99999,9,9,N","999999,9,N,1","-0057,1","-0058,1","10206,1","99999,9,10154,1","7,1,006,1,+999,9",,"SYN060AAXX  05154 04208 46/// /2118 11057 21058 30154 40206 57006;",
"04208099999","2010-01-05T18:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","320,1,N,0123,1","99999,9,9,N","999999,9,N,1","-0108,1","-0108,1","10231,1","99999,9,10178,1","2,1,024,1,+999,9",,"SYN060AAXX  05184 04208 46/// /3224 11108 21108 30178 40231 52024;",
"04208099999","2010-01-05T21:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","340,1,N,0118,1","99999,9,9,N","999999,9,N,1","-0144,1","-0144,1","10270,1","99999,9,10216,1","2,1,038,1,+999,9",,"SYN060AAXX  05214 04208 46/// /3423 11144 21144 30216 40270 52038;",
"04208099999","2010-01-06T00:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","320,1,N,0113,1","99999,9,9,N","999999,9,N,1","-0158,1","-0159,1","10285,1","99999,9,10231,1","2,1,015,1,+999,9",,"SYN060AAXX  06004 04208 46/// /3222 11158 21159 30231 40285 52015;",
"04208099999","2010-01-06T03:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","260,1,N,0108,1","99999,9,9,N","999999,9,N,1","-0163,1","-0164,1","10283,1","99999,9,10229,1","7,1,002,1,+999,9",,"SYN060AAXX  06034 04208 46/// /2621 11163 21164 30229 40283 57002;",
