"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","MD1","OC1","REM","EQD"
"04382099999","2010-01-16T00:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","330,1,N,0087,1","99999,9,9,N","999999,9,N,1","-0006,1","-0012,1","09811,1","99999,9,09763,1","4,1,000,1,+999,9",,"SYN060AAXX  16004 04382 46/// /3317 11006 21012 39763 49811 54000;",
"04382099999","2010-01-16T03:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","340,1,N,0108,1","99999,9,9,N","999999,9,N,1","+0006,1","-0018,1","09806,1","99999,9,09759,1","7,1,004,1,+999,9",,"SYN060AAXX  16034 04382 46/// /3421 10006 21018 39759 49806 57004;",
"04382099999","2010-01-16T06:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","340,1,N,0154,1","99999,9,9,N","999999,9,N,1","+0002,1","-0023,1","09807,1","99999,9,09760,1","2,1,001,1,+999,9",,"SYN060AAXX  16064 04382 46/// /3430 10002 21023 39760 49807 52001;",
"04382099999","2010-01-16T09:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","350,1,N,0113,1","99999,9,9,N","999999,9,N,1","+0008,1","-0010,1","09810,1","99999,9,09763,1","2,1,003,1,+999,9",,"SYN060AAXX  16094 04382 46/// /3522 10008 21010 39763 49810 52003;",
"04382099999","2010-01-16T12:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","340,1,N,0072,1","99999,9,9,N","999999,9,N,1","+0007,1","-0025,1","09809,1","99999,9,09762,1","7,1,001,1,+999,9",,"SYN060AAXX  16124 04382 46/// /3414 10007 21025 39762 49809 57001;",
"04382099999","2010-01-16T15:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","330,1,N,0021,1","99999,9,9,N","999999,9,N,1","+0025,1","-0052,1","09796,1","99999,9,09749,1","7,1,013,1,+999,9",,"SYN060AAXX  16154 04382 46/// /3304 10025 21052 39749 49796 57013;",
"04382099999","2010-01-16T18:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","340,1,N,0072,1","99999,9,9,N","999999,9,N,1","-0011,1","-0044,1","09794,1","99999,9,09746,1","7,1,003,1,+999,9",,"SYN060AAXX  16184 04382 46/// /3414 11011 21044 39746 49794 57003;",
"04382099999","2010-01-16T21:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","220,1,N,0026,1","99999,9,9,N","999999,9,N,1","-0008,1","-0046,1","09800,1","99999,9,09752,1","2,1,006,1,+999,9",,"SYN060AAXX  16214 04382 46/// /2205 11008 21046 39752 49800 52006;",
"04382099999","2010-01-17T00:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","210,1,N,0021,1","99999,9,9,N","999999,9,N,1","-0013,1","-0052,1","09794,1","99999,9,09746,1","7,1,006,1,+999,9",,"SYN060AAXX  17004 04382 46/// /2104 11013 21052 39746 49794 57006;",
"04382099999","2010-01-17T03:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","120,1,N,0021,1","99999,9,9,N","999999,9,N,1","-0020,1","-0053,1","09794,1","99999,9,09746,1","4,1,000,1,+999,9",,"SYN060AAXX  17034 04382 46/// /1204 11020 21053 39746 49794 54000;",
